delivery_number,no_of_unit,description,quantity,per_unit_kg,unit_type
36917,  15850.00 ,WAST PACKAGING MATERIAL ,396250,25,Bag
36916,  138.00 ,EVA,3450,25,Bag
36918,2216,RUBBER  BASE SLIPPER SOLE COMPOUND,55400,25,Bag
36919,  1902.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,47550,25,Bag
37033,240, EVA ,6000,25,Bag
17856,  200.00 ,PVC HARD SOLE  COMPOUND GRANUEL,5000,25,Bag
17855,  2.00 ,PVC SOFT CRYSTAL COMPOUND 25045,50,25,Bag
37034,2906,RUBBER  BASE SLIPPER SOLE COMPOUND,72650,25,Bag
37035,1203,RUBBER  BASE SLIPPER OUTER COMPOUND,30075,25,Bag
37036,217,RUBBER  SOLE COMPOUND 194,5425,25,Bag
37133,  200.00 ,EVA,5000,25,Bag
37134,  683.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,17075,25,Bag
37135,683,RUBBER  BASE SLIPPER OUTER COMPOUND,17075,25,Bag
17858,  70.00 ,Waste Drum,1750,25,Bag
17857,  30.00 ,Plastic Waste Drums,750,25,Bag
37037,200, EVA ,5000,25,Bag
17859,  155.00 ,PVC HARD SOLE  COMPOUND GRANUEL,3875,25,Bag
37038,1552,RUBBER  BASE SLIPPER SOLE COMPOUND,38800,25,Bag
37039,  2856.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,71400,25,Bag
37040,650,RUBBER  BASE SLIPPER OUTER COMPOUND,16250,25,Bag
17895,  18.00 , PVC SOFT GRANEL COMPOUND 5040 SS ,450,25,Bag
37136,  200.00 ,EVA,5000,25,Bag
37137,  209.00 ,RUBBER COMPOUND 1055,5225,25,Bag
17860,  54.00 , PVC SOFT GRANEL COMPOUND 5040 SS ,1350,25,Bag
37043,  200.00 ,B grade Filler Compound,5000,25,Bag
37042,  3.00 ,MASTER BATCH 5015,75,25,Bag
17862,  80.00 ,PVC CABLE GRANULE  COMPOUND 5035,2000,25,Bag
17862,  40.00 ,PVC CABLE GRANULE  COMPOUND 5041,1000,25,Bag
17862,  80.00 ,PVC CABLE GRANULE  COMPOUND 5017,2000,25,Bag
17862,  40.00 ,PVC CABLE GRANULE  COMPOUND 5022,1000,25,Bag
17816,  200.00 , PVC SOLE GRANUEL HARD COMPOUND 5036 HS ,5000,25,Bag
36921,  340.00 ,EVA,8500,25,Bag
36922,  340.00 ,EVA,8500,25,Bag
36923,  4.00 , EVA ,100,25,Bag
36924,2374,RUBBER  BASE SLIPPER SOLE COMPOUND,59350,25,Bag
36925,  3184.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,79600,25,Bag
37041,291, EVA ,7275,25,Bag
17861,  150.00 ,PVC HARD SOLE  COMPOUND GRANUEL,3750,25,Bag
37044,4561,RUBBER  BASE SLIPPER SOLE COMPOUND,114025,25,Bag
37045,1002,RUBBER  BASE SLIPPER OUTER COMPOUND,25050,25,Bag
37046,172,RUBBER  SOLE COMPOUND 195,4300,25,Bag
17819,  6.00 ,PVC Soft RANUEL COMPOUND  5040ssc,150,25,Bag
17819,  1.00 ,PVC SealRANUEL COMPOUND  5038se,25,25,Bag
36927,515,EVA SHEET COMPOUND 102,12875,25,Bag
17864,  80.00 , PVC SOFT GRANEL COMPOUND 5040 SS ,2000,25,Bag
17817,  200.00 , PVC SOLE GRANUEL HARD COMPOUND 5036 HS ,5000,25,Bag
17818,  200.00 , PVC SOLE GRANUEL HARD COMPOUND 5036 HS ,5000,25,Bag
36926,340,EVA,8500,25,Bag
36928,  179.00 ,EVA,4475,25,Bag
36929,1024,RUBBER  BASE SLIPPER SOLE COMPOUND,25600,25,Bag
36930,2577,RUBBER  BASE SLIPPER OUTER COMPOUND,64425,25,Bag
37047,  24.00 , EVA ,600,25,Bag
17863,  95.00 ,PVC HARD SOLE  COMPOUND GRANUEL,2375,25,Bag
37048,4671,RUBBER  BASE SLIPPER SOLE COMPOUND,116775,25,Bag
37049,1386,RUBBER  BASE SLIPPER OUTER COMPOUND,34650,25,Bag
37138,  200.00 ,EVA,5000,25,Bag
17820,  240.00 ,PVC RESIN,6000,25,Bag
17866,  80.00 , PVC SOFT GRANEL COMPOUND 5040 SS ,2000,25,Bag
17867,  1.00 ,PVC CABLE GRANULE  COMPOUND 5004,25,25,Bag
17821,  240.00 ,PVC RESIN,6000,25,Bag
36931,300,EVA,7500,25,Bag
36932,  4.00 , EVA ,100,25,Bag
17822,  34.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,850,25,Bag
36933,6002,RUBBER  BASE SLIPPER SOLE COMPOUND,150050,25,Bag
36934,  453.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,11325,25,Bag
17865,  184.00 ,PVC SOFT CRYSTAL COMPOUND 25046,4600,25,Bag
37050,4883,RUBBER  BASE SLIPPER SOLE COMPOUND,122075,25,Bag
37051,917,RUBBER  BASE SLIPPER OUTER COMPOUND,22925,25,Bag
37139,  202.00 ,EVA,5050,25,Bag
37140,  860.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,21500,25,Bag
37141,179,RUBBER  BASE SLIPPER OUTER COMPOUND,4475,25,Bag
37142,  25.00 ,RUBBER COMPOUND 1055,625,25,Bag
37146,  112.00 ,RUBBER COMPOUND 1055,2800,25,Bag
