delivery_number,no_of_unit,description,quantity,per_unit_kg,unit_type
36870,5,RUBBER  BASE SLIPPER OUTER COMPOUND,41,126,BAG
36872,352,RUBBER  BASE SLIPPER OUTER COMPOUND,8,800,BAG
3700,177,RUBBER  BASE SLIPPER OUTER COMPOUND,4,425,BAG
37001,1,RUBBER  BASE SLIPPER OUTER COMPOUND,963,49,BAG
37002,70,RUBBER  BASE SLIPPER OUTER COMPOUND,1,750,BAG
37104,1181,RUBBER  BASE SLIPPER OUTER COMPOUND,29,525,BAG
36878,458,RUBBER  BASE SLIPPER OUTER COMPOUND,11,450,BAG
37108,582,RUBBER  BASE SLIPPER OUTER COMPOUND,14,550,BAG
36885,588,RUBBER  BASE SLIPPER OUTER COMPOUND,14,700,BAG
37005,4,RUBBER  BASE SLIPPER OUTER COMPOUND,531,113,BAG
37114,1,RUBBER  BASE SLIPPER OUTER COMPOUND,252,31,BAG
36891,1,RUBBER  BASE SLIPPER OUTER COMPOUND,113,27,BAG
37011,1,RUBBER  BASE SLIPPER OUTER COMPOUND,18,25,BAG
36894,4,RUBBER  BASE SLIPPER OUTER COMPOUND,562,114,BAG
37021,286,RUBBER  BASE SLIPPER OUTER COMPOUND,7150,25,BAG
36899,"2,829.00",RUBBER  BASE SLIPPER OUTER COMPOUND,70725,25,BAG
37025,447,RUBBER  BASE SLIPPER OUTER COMPOUND,11175,25,BAG
37127,904,RUBBER  BASE SLIPPER OUTER COMPOUND,22600,25,BAG
37029,732,RUBBER  BASE SLIPPER OUTER COMPOUND,18300,25,BAG
36908,890,RUBBER  BASE SLIPPER OUTER COMPOUND,22250,25,BAG
36911,200,RUBBER  BASE SLIPPER OUTER COMPOUND,5000,25,BAG
36915,183,RUBBER  BASE SLIPPER OUTER COMPOUND,4575,25,BAG
37032,266,RUBBER  BASE SLIPPER OUTER COMPOUND,6650,25,BAG
36919,"1,902.00",RUBBER  BASE SLIPPER OUTER COMPOUND,47550,25,BAG
37035,1203,RUBBER  BASE SLIPPER OUTER COMPOUND,30075,25,BAG
37135,683,RUBBER  BASE SLIPPER OUTER COMPOUND,17075,25,BAG
37040,650,RUBBER  BASE SLIPPER OUTER COMPOUND,16250,25,BAG
36925,"3,184.00",RUBBER  BASE SLIPPER OUTER COMPOUND,79600,25,BAG
37045,1002,RUBBER  BASE SLIPPER OUTER COMPOUND,25050,25,BAG
36930,"2,577.00",RUBBER  BASE SLIPPER OUTER COMPOUND,64425,25,BAG
37049,1386,RUBBER  BASE SLIPPER OUTER COMPOUND,34650,25,BAG
36934,453,RUBBER  BASE SLIPPER OUTER COMPOUND,11325,25,BAG
37051,917,RUBBER  BASE SLIPPER OUTER COMPOUND,22925,25,BAG
37141,179,RUBBER  BASE SLIPPER OUTER COMPOUND,4475,25,BAG
36937,365,RUBBER  BASE SLIPPER OUTER COMPOUND,9125,25,BAG
37145,268,RUBBER  BASE SLIPPER OUTER COMPOUND,6700,25,BAG
37056,322,RUBBER  BASE SLIPPER OUTER COMPOUND,8050,25,BAG
37057,46,RUBBER  BASE SLIPPER OUTER COMPOUND,1150,25,BAG
37055,3955,RUBBER  BASE SLIPPER OUTER COMPOUND,98875,25,BAG
37152,180,RUBBER  BASE SLIPPER OUTER COMPOUND,4500,25,BAG
37067,632,RUBBER  BASE SLIPPER OUTER COMPOUND,15800,25,BAG
37160,178,RUBBER  BASE SLIPPER OUTER COMPOUND,4450,25,BAG
36947,420,RUBBER  BASE SLIPPER OUTER COMPOUND,10500,25,BAG
36946,303,RUBBER  BASE SLIPPER OUTER COMPOUND,7575,25,BAG
